Name,Period,Open,Low,High,Close,ChangeRate,PercentageChange,Date,Date_Shamsi
Gram18Ayar,Daily,9807000,9018000,9918000,9500000,296000,3.12%,7/20/2020,1399/04/30
Gram18Ayar,Daily,9496000,9313000,9860000,9664000,164000,1.73%,7/21/2020,1399/04/31
Gram18Ayar,Daily,9690000,9523000,9690000,9523000,141000,1.48%,7/22/2020,1399/05/01
Gram18Ayar,Daily,9523000,9523000,9523000,9523000,-,-,7/23/2020,1399/05/02
Gram18Ayar,Daily,10414000,10091000,10800000,10170000,647000,6.79%,7/25/2020,1399/05/04
Gram18Ayar,Daily,10160000,10156000,10738000,10631000,461000,4.53%,7/26/2020,1399/05/05
Gram18Ayar,Daily,10636000,10551000,10721000,10650000,19000,0.18%,7/27/2020,1399/05/06
Gram18Ayar,Daily,10645000,10597000,10772000,10747000,97000,0.91%,7/28/2020,1399/05/07
Gram18Ayar,Daily,10744000,10742000,10883000,10844000,97000,0.90%,7/29/2020,1399/05/08
Gram18Ayar,Daily,10844000,10844000,10844000,10844000,-,-,7/30/2020,1399/05/09
Gram18Ayar,Daily,10514000,10310000,10763000,10689000,155000,1.45%,8/1/2020,1399/05/11
Gram18Ayar,Daily,10714000,10698000,10869000,10756000,67000,0.63%,8/2/2020,1399/05/12
Gram18Ayar,Daily,10731000,10726000,10830000,10788000,32000,0.30%,8/3/2020,1399/05/13
Gram18Ayar,Daily,10793000,10788000,11407000,11100000,312000,2.89%,8/4/2020,1399/05/14
Gram18Ayar,Daily,11105000,11100000,11315000,11287000,187000,1.68%,8/5/2020,1399/05/15
Gram18Ayar,Daily,11287000,11287000,11287000,11287000,-,-,8/6/2020,1399/05/16
Gram18Ayar,Daily,10096000,9999000,10456000,10352000,935000,9.03%,8/9/2020,1399/05/19
Gram18Ayar,Daily,10347000,10223000,10652000,10317000,35000,0.34%,8/10/2020,1399/05/20
Gram18Ayar,Daily,10322000,10103000,10322000,10137000,180000,1.78%,8/11/2020,1399/05/21
Gram18Ayar,Daily,10142000,10135000,10310000,10250000,113000,1.11%,8/12/2020,1399/05/22
Gram18Ayar,Daily,10250000,10250000,10250000,10250000,-,-,8/13/2020,1399/05/23
Gram18Ayar,Daily,9994000,9946000,10403000,10387000,137000,1.34%,8/15/2020,1399/05/25
Gram18Ayar,Daily,10382000,10382000,10708000,10684000,297000,2.86%,8/16/2020,1399/05/26
Gram18Ayar,Daily,10661000,10592000,10830000,10594000,90000,0.85%,8/17/2020,1399/05/27
Gram18Ayar,Daily,10597000,10454000,10675000,10479000,115000,1.10%,8/18/2020,1399/05/28
Gram18Ayar,Daily,10474000,10410000,10622000,10521000,42000,0.40%,8/19/2020,1399/05/29
Gram18Ayar,Daily,10521000,10521000,10521000,10521000,-,-,8/20/2020,1399/05/30
Gram18Ayar,Daily,10497000,10403000,10618000,10405000,116000,1.11%,8/22/2020,1399/06/01
Gram18Ayar,Daily,10412000,10380000,10599000,10500000,95000,0.91%,8/23/2020,1399/06/02
Gram18Ayar,Daily,10576000,10507000,10588000,10530000,30000,0.29%,8/24/2020,1399/06/03
Gram18Ayar,Daily,10521000,10407000,10754000,10597000,67000,0.64%,8/25/2020,1399/06/04
Gram18Ayar,Daily,10592000,10588000,10714000,10613000,16000,0.15%,8/26/2020,1399/06/05
Gram18Ayar,Daily,10613000,10613000,10613000,10613000,-,-,8/27/2020,1399/06/06
Gram18Ayar,Daily,10936000,10931000,11206000,11162000,549000,5.17%,8/31/2020,1399/06/10
Gram18Ayar,Daily,11278000,11061000,11338000,11065000,97000,0.88%,9/1/2020,1399/06/11
Gram18Ayar,Daily,11061000,11061000,11065000,11061000,4000,0.04%,9/2/2020,1399/06/12
Gram18Ayar,Daily,11061000,11061000,11061000,11061000,-,-,9/3/2020,1399/06/13
Gram18Ayar,Daily,11012000,10871000,11118000,10975000,86000,0.78%,9/5/2020,1399/06/15
Gram18Ayar,Daily,10968000,10920000,11026000,11005000,30000,0.27%,9/6/2020,1399/06/16
Gram18Ayar,Daily,11010000,11005000,11250000,11222000,217000,1.97%,9/7/2020,1399/06/17
Gram18Ayar,Daily,11227000,11222000,11453000,11442000,220000,1.96%,9/8/2020,1399/06/18
Gram18Ayar,Daily,11437000,11437000,11589000,11541000,99000,0.87%,9/9/2020,1399/06/19
Gram18Ayar,Daily,11541000,11541000,11541000,11541000,-,-,9/10/2020,1399/06/20
Gram18Ayar,Daily,11707000,11703000,11998000,11977000,436000,3.78%,9/12/2020,1399/06/22
Gram18Ayar,Daily,11973000,11710000,12210000,11786000,191000,1.62%,9/13/2020,1399/06/23
Gram18Ayar,Daily,11788000,11788000,12231000,12194000,408000,3.46%,9/14/2020,1399/06/24
Gram18Ayar,Daily,12190000,12190000,12492000,12284000,90000,0.74%,9/15/2020,1399/06/25
Gram18Ayar,Daily,12280000,12054000,12305000,12153000,131000,1.08%,9/16/2020,1399/06/26
Gram18Ayar,Daily,12153000,12153000,12153000,12153000,-,-,9/17/2020,1399/06/27
Gram18Ayar,Daily,12054000,12054000,12492000,12488000,335000,2.76%,9/19/2020,1399/06/29
Gram18Ayar,Daily,12492000,12238000,12538000,12257000,231000,1.88%,9/20/2020,1399/06/30
Gram18Ayar,Daily,12261000,12102000,12397000,12356000,99000,0.81%,9/21/2020,1399/06/31
Gram18Ayar,Daily,12361000,12337000,12492000,12464000,108000,0.87%,9/22/2020,1399/07/01
Gram18Ayar,Daily,12469000,12464000,12469000,12469000,5000,0.04%,9/23/2020,1399/07/02
Gram18Ayar,Daily,12469000,12469000,12469000,12469000,-,-,9/24/2020,1399/07/03
Gram18Ayar,Daily,12494000,12494000,12594000,12568000,99000,0.79%,9/26/2020,1399/07/05
Gram18Ayar,Daily,12564000,12564000,12654000,12649000,81000,0.64%,9/27/2020,1399/07/06
Gram18Ayar,Daily,12654000,12649000,12935000,12926000,277000,2.19%,9/28/2020,1399/07/07
Gram18Ayar,Daily,12931000,12926000,13245000,13240000,314000,2.43%,9/29/2020,1399/07/08
Gram18Ayar,Daily,13245000,13240000,13566000,13515000,275000,2.08%,9/30/2020,1399/07/09
Gram18Ayar,Daily,13515000,13515000,13515000,13515000,-,-,10/1/2020,1399/07/10
Gram18Ayar,Daily,13388000,13000000,13393000,13012000,503000,3.87%,10/3/2020,1399/07/12
Gram18Ayar,Daily,13007000,13007000,13420000,13383000,371000,2.85%,10/4/2020,1399/07/13
Gram18Ayar,Daily,13388000,13383000,13658000,13653000,270000,2.02%,10/5/2020,1399/07/14
Gram18Ayar,Daily,13658000,13429000,13658000,13561000,92000,0.68%,10/6/2020,1399/07/15
Gram18Ayar,Daily,13563500,13561000,13566000,13561000,-,-,10/7/2020,1399/07/16
Gram18Ayar,Daily,14201000,14201000,14692000,14489000,928000,6.84%,10/10/2020,1399/07/19
Gram18Ayar,Daily,14485000,14231000,14743000,14738000,249000,1.72%,10/11/2020,1399/07/20
Gram18Ayar,Daily,14743000,14727000,14974000,14755000,17000,0.12%,10/12/2020,1399/07/21
Gram18Ayar,Daily,14750000,14547000,14870000,14644000,111000,0.76%,10/13/2020,1399/07/22
Gram18Ayar,Daily,14648000,14644000,14958000,14944000,300000,2.05%,10/14/2020,1399/07/23
Gram18Ayar,Daily,14886800,14679000,15147300,14769100,174900,1.18%,10/15/2020,1399/07/24
Gram18Ayar,Daily,14708000,14034000,14720000,14062000,707100,5.03%,10/18/2020,1399/07/27
Gram18Ayar,Daily,14057000,12137000,14062000,12930000,1132000,8.75%,10/19/2020,1399/07/28
Gram18Ayar,Daily,12171000,12049000,13233000,12875000,55000,0.43%,10/20/2020,1399/07/29
Gram18Ayar,Daily,12885000,12875000,13700000,13568000,693000,5.38%,10/21/2020,1399/07/30
Gram18Ayar,Daily,13568000,13568000,13568000,13568000,-,-,10/22/2020,1399/08/01
Gram18Ayar,Daily,13155000,13155000,13155000,13155000,413000,3.14%,10/24/2020,1399/08/03
Gram18Ayar,Daily,12638000,12635000,12945000,12818000,337000,2.63%,10/26/2020,1399/08/05
Gram18Ayar,Daily,12822000,12460000,12829000,12534000,284000,2.27%,10/27/2020,1399/08/06
Gram18Ayar,Daily,12529000,12391000,12596000,12418000,116000,0.93%,10/28/2020,1399/08/07
Gram18Ayar,Daily,12418000,12418000,12418000,12418000,-,-,10/29/2020,1399/08/08
Gram18Ayar,Daily,11746000,11740000,12367000,12365000,53000,0.43%,10/31/2020,1399/08/10
Gram18Ayar,Daily,12367000,12120000,13339000,13152000,787000,6.36%,11/1/2020,1399/08/11
Gram18Ayar,Daily,13152000,13152000,13152000,13152000,-,-,11/2/2020,1399/08/12
Gram18Ayar,Daily,13016000,11765000,13025000,12234000,918000,7.50%,11/4/2020,1399/08/14
Gram18Ayar,Daily,11733000,11671900,12161500,12073400,160600,1.33%,11/5/2020,1399/08/15
Gram18Ayar,Daily,11407000,10839000,11776000,11663000,410400,3.52%,11/7/2020,1399/08/17
Gram18Ayar,Daily,11654000,11647000,13215000,12231000,568000,4.87%,11/8/2020,1399/08/18
Gram18Ayar,Daily,12467000,12224000,12633000,12229000,2000,0.02%,11/9/2020,1399/08/19
Gram18Ayar,Daily,12241000,11901000,12471000,12192000,37000,0.30%,11/10/2020,1399/08/20
Gram18Ayar,Daily,12187000,12120000,12192000,12134000,58000,0.48%,11/11/2020,1399/08/21
Gram18Ayar,Daily,12134000,12134000,12134000,12134000,-,-,11/12/2020,1399/08/22
Gram18Ayar,Daily,12054000,10899000,12056000,11617000,517000,4.45%,11/14/2020,1399/08/24
Gram18Ayar,Daily,11615000,11603000,11710000,11710000,93000,0.80%,11/15/2020,1399/08/25
